0	132	68	0	200
1	355	102	0	200
2	473	200	0	200
3	431	200	0	200
4	159	414	0	200
5	148	165	0	200
6	487	269	0	200
7	212	352	0	200
8	119	434	0	200
9	246	243	0	200
10	297	423	0	200
11	88	59	0	200
12	448	127	0	200
13	175	216	0	200
14	197	446	0	200
15	230	2	0	200
16	468	105	0	200
17	412	479	0	200
18	481	60	0	200
19	239	180	0	200
20	293	223	0	200
21	191	386	0	200
22	76	254	0	200
23	295	155	0	200
24	109	95	0	200
25	22	438	0	200
26	89	107	0	200
27	351	424	0	200
28	187	443	0	200
29	97	218	0	200
30	326	101	0	200
31	444	378	0	200
32	433	23	0	200
33	269	198	0	200
34	174	216	0	200
35	219	429	0	200
36	478	147	0	200
37	8	22	0	200
38	242	288	0	200
39	453	382	0	200
40	443	92	0	200
41	363	11	0	200
42	360	361	0	200
43	155	155	0	200
44	297	499	0	200
45	251	340	0	200
46	229	251	0	200
47	76	158	0	200
48	270	103	0	200
49	167	81	0	200
50	449	422	0	200
51	409	480	0	200
52	415	154	0	200
53	38	403	0	200
54	458	366	0	200
55	170	309	0	200
56	231	30	0	200
57	213	14	0	200
58	227	421	0	200
59	159	98	0	200
60	195	210	0	200
61	452	487	0	200
62	151	236	0	200
63	262	63	0	200
64	339	443	0	200
65	100	276	0	200
66	380	323	0	200
67	496	423	0	200
68	410	148	0	200
69	338	105	0	200
70	412	294	0	200
71	436	199	0	200
72	319	19	0	200
73	2	61	0	200
74	97	63	0	200
75	205	457	0	200
76	88	16	0	200
77	8	142	0	200
78	75	195	0	200
79	246	100	0	200
80	170	27	0	200
81	455	261	0	200
82	394	280	0	200
83	391	359	0	200
84	287	357	0	200
85	98	99	0	200
86	50	343	0	200
87	162	115	0	200
88	39	485	0	200
89	384	411	0	200
90	425	276	0	200
91	18	461	0	200
92	416	5	0	200
93	167	93	0	200
94	286	458	0	200
95	93	100	0	200
96	69	45	0	200
97	347	204	0	200
98	191	324	0	200
99	27	42	0	200
100	281	482	0	200
101	489	346	0	200
102	141	104	0	200
103	193	355	0	200
104	147	335	0	200
105	346	27	0	200
106	123	445	0	200
107	306	135	0	200
108	57	429	0	200
109	123	486	0	200
110	40	204	0	200
111	112	95	0	200
112	461	242	0	200
113	340	56	0	200
114	233	15	0	200
115	309	240	0	200
116	212	466	0	200
117	363	132	0	200
118	4	84	0	200
119	22	176	0	200
120	58	276	0	200
121	393	154	0	200
122	172	137	0	200
123	455	111	0	200
124	94	337	0	200
125	401	275	0	200
126	186	326	0	200
127	413	433	0	200
128	132	351	0	200
129	371	4	0	200
130	142	229	0	200
131	20	356	0	200
132	252	197	0	200
133	295	289	0	200
134	358	23	0	200
135	101	82	0	200
136	499	136	0	200
137	380	35	0	200
138	39	234	0	200
139	73	221	0	200
140	212	147	0	200
141	204	49	0	200
142	93	208	0	200
143	102	403	0	200
144	484	238	0	200
145	464	328	0	200
146	124	387	0	200
147	149	420	0	200
148	107	195	0	200
149	200	398	0	200
